ID_Cliente,Evasion,Genero,Adulto_Mayor,Socio,Dependientes,Meses_Antiguedad,Servicio_Telefonico,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivo,Soporte_Tecnico,TV_Streaming,Peliculas_Streaming,Tipo_Contrato,Facturacion_Digital,Metodo_Pago,Cargos_Mensuales,Cargos_Diarios,Cargos_Totales
0040-HALCW,0,masculino,0,1,1,54,1,0,sin_internet,0,0,0,0,0,0,dos_anos,0,credit card (automatic),20.4,0.68,1090.6
0042-JVWOJ,0,masculino,0,0,0,26,1,0,sin_internet,0,0,0,0,0,0,un_ano,1,bank transfer (automatic),19.6,0.65,471.85
0042-RLHYP,0,femenino,0,1,1,69,1,0,sin_internet,0,0,0,0,0,0,dos_anos,0,bank transfer (automatic),19.7,0.66,1396.9
0048-LUMLS,0,masculino,0,1,1,37,1,0,fibra_optica,0,0,0,0,1,1,un_ano,0,credit card (automatic),91.2,3.04,3247.55
0048-PIHNL,0,femenino,0,1,0,49,1,0,sin_internet,0,0,0,0,0,0,un_ano,0,bank transfer (automatic),20.45,0.68,900.9
0052-DCKON,0,masculino,0,1,0,66,1,1,fibra_optica,1,1,1,1,1,1,un_ano,0,bank transfer (automatic),115.8,3.86,7942.15
0052-YNYOT,0,femenino,0,0,0,67,1,0,sin_internet,0,0,0,0,0,0,un_ano,0,cheque_electronico,20.55,0.68,1343.4
0056-EPFBG,0,masculino,0,1,1,20,0,0,dsl,1,0,1,1,0,0,dos_anos,1,credit card (automatic),39.4,1.31,825.4
0057-QBUQH,0,femenino,0,0,1,43,1,1,sin_internet,0,0,0,0,0,0,dos_anos,1,cheque_electronico,25.1,0.84,1070.15
0058-EVZWM,0,femenino,0,1,0,55,1,1,fibra_optica,1,0,0,0,1,0,mes_a_mes,1,bank transfer (automatic),89.8,2.99,4959.6
0060-FUALY,0,femenino,0,1,0,59,1,1,fibra_optica,1,1,0,0,1,0,mes_a_mes,1,cheque_electronico,94.75,3.16,5597.65
0064-SUDOG,0,femenino,0,1,1,12,1,0,sin_internet,0,0,0,0,0,0,dos_anos,0,bank transfer (automatic),20.3,0.68,224.5
0064-YIJGF,0,masculino,0,1,1,27,1,1,fibra_optica,0,0,0,0,0,0,mes_a_mes,1,bank transfer (automatic),75.75,2.52,1929.0
0067-DKWBL,1,masculino,1,0,0,2,1,0,dsl,1,0,0,0,0,0,mes_a_mes,1,cheque_electronico,49.25,1.64,91.1
0068-FIGTF,0,femenino,0,0,0,27,1,0,dsl,0,1,1,1,1,1,un_ano,0,cheque_correo,78.2,2.61,2078.95
0071-NDAFP,0,masculino,0,1,1,25,1,1,sin_internet,0,0,0,0,0,0,dos_anos,0,credit card (automatic),25.5,0.85,630.6
0074-HDKDG,0,masculino,0,1,1,25,1,0,dsl,1,1,1,0,0,0,un_ano,1,bank transfer (automatic),61.6,2.05,1611.0
0076-LVEPS,0,masculino,0,0,1,29,0,0,dsl,1,1,1,1,0,0,mes_a_mes,1,cheque_correo,45.0,1.5,1242.45
0078-XZMHT,0,masculino,0,1,0,72,1,1,dsl,0,1,1,1,1,1,dos_anos,1,bank transfer (automatic),85.15,2.84,6316.2
0080-EMYVY,0,femenino,0,0,0,14,1,0,dsl,0,1,0,0,0,0,un_ano,0,credit card (automatic),51.45,1.72,727.85
0080-OROZO,0,femenino,0,0,0,35,1,0,fibra_optica,0,0,1,1,1,1,un_ano,1,cheque_electronico,99.25,3.31,3532.0
0082-LDZUE,0,masculino,0,0,0,1,1,0,dsl,0,0,0,0,0,0,mes_a_mes,1,cheque_correo,44.3,1.48,44.3
0082-OQIQY,0,masculino,0,0,0,29,1,0,fibra_optica,0,0,0,1,1,1,mes_a_mes,1,cheque_electronico,94.2,3.14,2607.6
0083-PIVIK,0,masculino,0,0,0,64,1,1,dsl,1,1,1,1,1,0,un_ano,0,cheque_electronico,81.25,2.71,5567.55
0089-IIQKO,0,femenino,0,1,1,39,1,1,fibra_optica,0,0,0,1,1,1,mes_a_mes,1,credit card (automatic),99.95,3.33,3767.4
0093-EXYQL,0,femenino,1,0,0,40,1,0,fibra_optica,0,0,0,0,1,1,mes_a_mes,1,cheque_electronico,91.55,3.05,3673.6
0093-XWZFY,1,masculino,0,0,0,40,1,1,fibra_optica,0,1,1,0,1,1,mes_a_mes,1,credit card (automatic),104.5,3.48,4036.85
0094-OIFMO,1,femenino,1,0,0,11,1,0,fibra_optica,0,1,0,0,1,1,mes_a_mes,1,cheque_electronico,95.0,3.17,1120.3
0096-BXERS,0,femenino,0,1,0,6,1,1,dsl,0,0,0,0,0,0,mes_a_mes,0,cheque_electronico,50.35,1.68,314.55
0096-FCPUF,0,masculino,0,0,0,30,1,1,dsl,1,0,0,0,0,1,mes_a_mes,1,cheque_correo,64.5,2.15,1888.45
0098-BOWSO,0,masculino,0,0,0,27,1,0,sin_internet,0,0,0,0,0,0,mes_a_mes,1,cheque_electronico,19.4,0.65,529.8
0100-DUVFC,0,masculino,1,1,0,70,1,1,fibra_optica,0,1,1,0,1,1,un_ano,1,cheque_electronico,104.8,3.49,7308.95
0103-CSITQ,0,femenino,0,1,0,57,1,1,fibra_optica,0,1,1,1,1,1,un_ano,1,bank transfer (automatic),109.4,3.65,6252.7
0104-PPXDV,0,masculino,0,1,0,58,1,0,dsl,0,0,1,0,0,0,un_ano,0,credit card (automatic),50.3,1.68,2878.55
0106-GHRQR,0,masculino,0,0,0,16,1,1,dsl,0,1,1,0,0,1,mes_a_mes,1,bank transfer (automatic),71.4,2.38,1212.1
0106-UGRDO,0,femenino,0,1,0,69,1,1,fibra_optica,1,1,1,1,1,1,dos_anos,1,cheque_electronico,116.0,3.87,8182.85
0107-WESLM,1,masculino,0,0,0,1,1,0,sin_internet,0,0,0,0,0,0,mes_a_mes,1,cheque_electronico,19.85,0.66,19.85
0107-YHINA,1,masculino,0,0,1,1,1,1,fibra_optica,0,0,1,0,1,1,mes_a_mes,1,cheque_electronico,99.75,3.32,99.75
0111-KLBQG,0,masculino,1,1,1,32,1,0,fibra_optica,0,1,0,0,1,1,mes_a_mes,1,cheque_correo,93.95,3.13,2861.45
0112-QAWRZ,0,masculino,0,1,1,16,1,1,fibra_optica,0,0,1,0,1,0,mes_a_mes,1,bank transfer (automatic),90.8,3.03,1442.2
0112-QWPNC,1,masculino,0,1,0,49,1,1,dsl,1,0,1,1,1,1,un_ano,0,cheque_electronico,84.35,2.81,4059.35
0114-IGABW,0,femenino,0,1,0,71,0,0,dsl,0,1,1,1,1,1,dos_anos,0,bank transfer (automatic),58.25,1.94,4145.9
0114-PEGZZ,0,femenino,0,0,0,33,1,1,fibra_optica,0,1,1,0,1,1,mes_a_mes,0,cheque_electronico,107.55,3.58,3645.5
0114-RSRRW,0,femenino,0,1,0,10,1,0,sin_internet,0,0,0,0,0,0,mes_a_mes,1,bank transfer (automatic),19.95,0.66,187.75
0115-TFERT,1,masculino,0,1,0,21,1,1,fibra_optica,0,1,1,1,1,1,mes_a_mes,1,cheque_electronico,111.2,3.71,2317.1
0117-LFRMW,1,masculino,0,1,1,37,0,0,dsl,1,1,1,0,0,0,mes_a_mes,0,bank transfer (automatic),40.2,1.34,1448.8
0118-JPNOY,0,femenino,1,0,0,26,1,0,fibra_optica,1,0,0,0,1,0,mes_a_mes,1,credit card (automatic),85.8,2.86,2193.65
0121-SNYRK,0,masculino,0,0,0,50,0,0,dsl,1,0,0,1,0,0,un_ano,1,cheque_correo,35.4,1.18,1748.9
0122-OAHPZ,1,femenino,0,0,0,7,1,1,fibra_optica,0,0,0,0,0,0,mes_a_mes,1,cheque_electronico,73.85,2.46,511.25
0123-CRBRT,0,femenino,0,1,1,61,1,1,dsl,1,1,1,1,1,1,dos_anos,0,cheque_correo,88.1,2.94,5526.75
0125-LZQXK,1,masculino,0,0,0,15,1,0,fibra_optica,0,0,1,1,1,1,mes_a_mes,1,cheque_electronico,101.35,3.38,1553.95
0128-MKWSG,0,femenino,0,0,1,26,0,0,dsl,1,0,0,1,0,1,mes_a_mes,0,cheque_correo,45.8,1.53,1147.0
0129-KPTWJ,0,masculino,0,1,0,72,1,0,fibra_optica,0,0,1,0,1,1,mes_a_mes,1,cheque_electronico,94.65,3.16,6747.35
0129-QMPDR,0,masculino,0,1,1,44,1,0,sin_internet,0,0,0,0,0,0,un_ano,1,bank transfer (automatic),20.5,0.68,865.05
0130-SXOUN,0,masculino,0,0,0,66,1,1,fibra_optica,0,1,0,0,0,1,mes_a_mes,0,credit card (automatic),89.4,2.98,5976.9
0133-BMFZO,1,femenino,0,0,0,2,1,0,fibra_optica,1,1,0,1,0,0,mes_a_mes,1,cheque_electronico,86.25,2.88,181.65
0134-XWXCE,0,femenino,1,0,0,44,1,0,dsl,0,0,1,1,1,1,un_ano,0,bank transfer (automatic),74.85,2.49,3268.05
0135-NMXAP,1,femenino,0,0,0,12,1,1,fibra_optica,0,1,0,0,1,0,mes_a_mes,1,bank transfer (automatic),89.75,2.99,1052.4
0136-IFMYD,0,masculino,1,1,0,69,1,1,fibra_optica,0,1,1,1,1,1,dos_anos,1,cheque_electronico,109.95,3.66,7634.25
0137-OCGAB,1,femenino,0,0,0,1,1,1,fibra_optica,0,1,0,0,0,0,mes_a_mes,1,cheque_correo,80.2,2.67,80.2
0137-UDEUO,1,femenino,0,0,0,3,1,0,sin_internet,0,0,0,0,0,0,mes_a_mes,0,cheque_correo,19.85,0.66,63.75
0139-IVFJG,0,femenino,0,1,0,2,1,0,fibra_optica,1,1,0,0,1,0,mes_a_mes,0,cheque_electronico,90.35,3.01,190.5
0141-YEAYS,0,femenino,1,0,0,27,1,1,fibra_optica,0,1,1,0,0,0,mes_a_mes,1,bank transfer (automatic),86.45,2.88,2401.05
0142-GVYSN,0,masculino,0,0,0,26,1,0,sin_internet,0,0,0,0,0,0,mes_a_mes,1,cheque_electronico,20.3,0.68,511.25
0147-ESWWR,0,femenino,1,1,0,39,1,1,fibra_optica,0,0,0,1,1,1,mes_a_mes,1,cheque_electronico,101.25,3.38,3949.15
0148-DCDOS,1,masculino,0,0,0,25,1,1,fibra_optica,0,0,0,0,1,1,mes_a_mes,1,bank transfer (automatic),94.7,3.16,2362.1
0151-ONTOV,1,femenino,0,0,0,1,1,0,fibra_optica,0,0,0,0,0,0,mes_a_mes,0,cheque_correo,70.9,2.36,70.9
0156-FVPTA,1,masculino,0,1,0,22,1,0,dsl,1,0,0,1,0,0,mes_a_mes,1,cheque_electronico,54.2,1.81,1152.7
0164-APGRB,0,femenino,0,0,0,72,1,1,fibra_optica,1,1,1,1,1,1,dos_anos,1,cheque_electronico,114.9,3.83,8496.7
0164-XAIRP,0,femenino,0,0,0,24,1,0,sin_internet,0,0,0,0,0,0,dos_anos,1,bank transfer (automatic),19.55,0.65,470.2
0168-XZKBB,0,femenino,0,1,0,19,1,1,fibra_optica,0,0,0,0,1,0,mes_a_mes,1,cheque_electronico,86.85,2.9,1564.4
0174-QRVVY,0,masculino,0,1,1,71,1,1,sin_internet,0,0,0,0,0,0,dos_anos,0,credit card (automatic),25.35,0.85,1847.55
0177-PXBAT,0,masculino,1,1,0,33,1,1,fibra_optica,1,0,1,1,1,1,mes_a_mes,1,bank transfer (automatic),109.9,3.66,3694.7
0178-CIIKR,0,femenino,0,0,0,3,1,0,sin_internet,0,0,0,0,0,0,mes_a_mes,0,cheque_correo,19.95,0.66,58.0
0178-SZBHO,0,masculino,0,1,1,47,1,1,fibra_optica,0,1,0,0,1,0,mes_a_mes,0,cheque_electronico,87.2,2.91,4017.45
0181-RITDD,0,masculino,0,1,1,62,1,0,fibra_optica,1,1,1,1,1,1,dos_anos,0,cheque_correo,108.15,3.6,6825.65
0186-CAERR,0,masculino,0,0,0,71,1,1,fibra_optica,1,1,1,1,1,1,un_ano,1,bank transfer (automatic),116.3,3.88,8309.55
0187-QSXOE,0,masculino,1,1,0,7,1,0,fibra_optica,0,0,0,0,1,1,mes_a_mes,1,cheque_electronico,89.0,2.97,605.45
0187-WZNAB,0,femenino,0,1,1,27,1,0,fibra_optica,1,0,0,0,0,0,mes_a_mes,0,cheque_correo,74.4,2.48,1972.35
0188-GWFLE,0,masculino,0,0,0,2,1,0,sin_internet,0,0,0,0,0,0,mes_a_mes,0,cheque_correo,20.05,0.67,33.7
0191-EQUUH,0,femenino,0,0,1,25,0,0,dsl,1,0,0,1,0,0,dos_anos,0,bank transfer (automatic),35.05,1.17,844.45
0191-ZHSKZ,0,masculino,1,0,0,30,1,0,dsl,1,1,0,0,1,1,mes_a_mes,1,cheque_electronico,74.75,2.49,2111.3
0193-ESZXP,1,femenino,1,1,0,58,1,0,fibra_optica,1,1,0,1,1,1,un_ano,1,credit card (automatic),105.5,3.52,6205.5
0195-IESCP,1,masculino,0,1,0,10,1,1,fibra_optica,0,0,0,0,0,1,mes_a_mes,1,cheque_electronico,85.25,2.84,855.3
0196-JTUQI,0,femenino,0,0,0,9,1,1,fibra_optica,0,0,0,0,0,0,mes_a_mes,1,credit card (automatic),75.2,2.51,633.85
0196-VULGZ,1,femenino,1,1,0,6,1,1,fibra_optica,0,0,0,0,0,1,mes_a_mes,1,cheque_electronico,84.35,2.81,474.9
0197-PNKNK,0,femenino,0,1,1,69,1,1,fibra_optica,1,0,1,0,0,0,un_ano,0,bank transfer (automatic),84.45,2.82,5848.6
0201-MIBOL,0,femenino,1,0,0,66,1,1,fibra_optica,1,0,0,0,1,1,dos_anos,1,bank transfer (automatic),102.4,3.41,6471.85
0201-OAMXR,1,femenino,0,0,0,70,1,1,fibra_optica,1,1,1,1,1,1,un_ano,0,credit card (automatic),115.55,3.85,8127.6
0203-HHYIJ,1,masculino,0,0,0,25,1,1,sin_internet,0,0,0,0,0,0,un_ano,0,bank transfer (automatic),25.3,0.84,676.35
0206-OYVOC,0,femenino,0,1,1,46,1,0,sin_internet,0,0,0,0,0,0,dos_anos,1,cheque_correo,19.25,0.64,864.2
0206-TBWLC,0,femenino,0,1,0,54,1,1,fibra_optica,1,1,1,1,1,1,un_ano,1,cheque_correo,114.65,3.82,6049.5
0207-MDKNV,1,femenino,0,0,0,15,1,0,fibra_optica,1,0,1,1,1,1,mes_a_mes,0,cheque_electronico,105.1,3.5,1582.75
0208-BPQEJ,0,femenino,0,1,1,12,1,0,sin_internet,0,0,0,0,0,0,mes_a_mes,0,bank transfer (automatic),19.4,0.65,198.1
0212-ISBBF,0,femenino,0,0,0,22,0,0,dsl,0,1,0,0,1,1,mes_a_mes,1,cheque_electronico,50.35,1.68,1098.85
0214-JHPFW,0,femenino,0,1,0,70,0,0,dsl,0,1,1,1,1,1,dos_anos,0,bank transfer (automatic),57.8,1.93,4039.3
0215-BQKGS,0,masculino,0,0,0,30,1,0,fibra_optica,1,1,1,0,0,0,mes_a_mes,1,credit card (automatic),84.3,2.81,2438.6
0218-QNVAS,0,masculino,0,1,1,71,1,1,fibra_optica,0,1,0,0,1,1,un_ano,0,bank transfer (automatic),100.55,3.35,7113.75
0219-QAERP,0,masculino,0,1,0,30,1,0,sin_internet,0,0,0,0,0,0,un_ano,0,credit card (automatic),19.8,0.66,576.65
0219-YTZUE,1,masculino,0,1,1,4,1,1,fibra_optica,0,1,1,0,0,0,mes_a_mes,1,bank transfer (automatic),84.8,2.83,371.9
0220-EBGCE,1,masculino,0,0,0,2,1,0,fibra_optica,0,0,1,0,0,1,mes_a_mes,1,cheque_electronico,85.85,2.86,167.3
0221-NAUXK,0,masculino,0,0,1,10,1,0,sin_internet,0,0,0,0,0,0,un_ano,1,bank transfer (automatic),19.95,0.66,219.5
0221-WMXNQ,0,masculino,1,0,0,4,1,0,fibra_optica,1,0,0,0,0,0,mes_a_mes,0,cheque_electronico,75.35,2.51,273.4
0222-CNVPT,0,masculino,1,0,0,52,0,0,dsl,1,0,0,0,1,1,mes_a_mes,1,credit card (automatic),48.8,1.63,2555.05
0224-HJAPT,1,masculino,0,0,0,5,1,1,dsl,0,0,0,0,0,0,mes_a_mes,0,cheque_electronico,47.15,1.57,223.15
0224-NIJLP,0,masculino,0,1,1,8,1,0,sin_internet,0,0,0,0,0,0,dos_anos,0,cheque_correo,20.15,0.67,165.5
0224-RLWWD,0,femenino,1,0,0,2,1,0,dsl,0,0,0,0,0,0,mes_a_mes,1,cheque_electronico,44.3,1.48,89.3
0225-ZORZP,0,masculino,0,0,0,3,1,0,fibra_optica,0,1,0,0,0,1,mes_a_mes,0,cheque_electronico,84.3,2.81,235.05
0228-MAUWC,0,masculino,0,0,0,19,1,1,dsl,0,0,1,1,0,0,mes_a_mes,0,cheque_electronico,59.55,1.98,1144.6
0229-LFJAF,0,masculino,0,0,0,72,1,1,dsl,1,1,1,1,0,0,dos_anos,0,bank transfer (automatic),69.65,2.32,4908.25
0230-UBYPQ,0,masculino,1,1,0,63,0,0,dsl,1,0,0,1,0,0,un_ano,0,bank transfer (automatic),36.1,1.2,2298.9
0230-WEQUW,0,masculino,0,1,0,66,0,0,dsl,1,1,1,1,1,0,dos_anos,1,bank transfer (automatic),56.6,1.89,3789.2
0231-LXVAP,1,masculino,0,0,0,1,1,0,fibra_optica,0,0,0,1,0,0,mes_a_mes,1,cheque_electronico,75.9,2.53,75.9
0233-FTHAV,0,femenino,0,0,0,60,1,1,fibra_optica,0,0,1,0,0,0,un_ano,1,bank transfer (automatic),79.2,2.64,4765.0
0234-TEVTT,0,femenino,0,1,1,48,0,0,dsl,1,0,1,0,0,1,un_ano,0,credit card (automatic),45.0,1.5,2196.3
0235-KGSLC,1,femenino,0,0,0,1,1,0,fibra_optica,0,0,1,0,1,0,mes_a_mes,1,credit card (automatic),85.55,2.85,85.55
0236-HFWSV,1,masculino,0,0,0,15,1,1,fibra_optica,0,0,0,0,1,1,mes_a_mes,1,cheque_electronico,93.35,3.11,1444.65
0237-YFUTL,0,femenino,0,1,0,50,1,1,fibra_optica,1,1,0,1,1,1,mes_a_mes,1,bank transfer (automatic),109.65,3.66,5405.8
0238-WHBIQ,0,masculino,0,1,1,72,1,1,dsl,1,1,1,1,1,1,dos_anos,0,credit card (automatic),89.7,2.99,6339.3
0239-OXEXL,0,femenino,0,0,0,46,1,1,fibra_optica,1,1,0,0,0,0,mes_a_mes,0,cheque_correo,84.25,2.81,3847.6
0244-LGNFY,0,femenino,0,1,1,72,1,1,dsl,1,1,1,1,1,1,dos_anos,0,bank transfer (automatic),92.65,3.09,6733.0
0247-SLUJI,0,masculino,0,1,1,1,1,0,sin_internet,0,0,0,0,0,0,mes_a_mes,0,cheque_correo,19.7,0.66,19.7
0248-IPDFW,0,femenino,0,0,0,1,1,1,dsl,0,0,0,0,0,0,mes_a_mes,1,cheque_electronico,50.1,1.67,50.1
0248-PGHBZ,0,femenino,1,0,0,67,1,0,fibra_optica,1,1,0,1,1,0,dos_anos,1,bank transfer (automatic),92.45,3.08,6140.85
0253-ZTEOB,0,femenino,0,1,1,48,1,1,dsl,0,1,0,1,1,1,dos_anos,0,cheque_electronico,79.65,2.66,3870.3
0254-FNMCI,0,femenino,0,0,0,72,1,0,fibra_optica,1,1,1,1,1,1,dos_anos,1,cheque_electronico,109.9,3.66,7624.2
0254-KCJGT,0,masculino,0,1,0,52,1,1,dsl,1,1,1,1,0,1,un_ano,1,credit card (automatic),81.4,2.71,4354.45
0254-WWRKD,0,femenino,0,1,1,67,1,0,dsl,0,1,0,0,0,0,un_ano,0,credit card (automatic),50.55,1.68,3431.75
0256-LTHVJ,1,femenino,0,1,1,28,1,0,fibra_optica,0,0,0,0,0,1,mes_a_mes,1,cheque_electronico,81.05,2.7,2227.1
0257-KXZGU,0,femenino,0,1,1,32,1,1,dsl,0,1,1,0,0,0,mes_a_mes,0,bank transfer (automatic),62.45,2.08,2045.55
0257-ZESQC,1,femenino,1,1,0,27,1,0,fibra_optica,1,0,0,0,0,0,mes_a_mes,1,bank transfer (automatic),75.2,2.51,1929.35
0258-NOKBL,0,masculino,0,0,0,3,1,0,fibra_optica,0,1,1,0,0,1,mes_a_mes,0,cheque_electronico,90.4,3.01,268.45
0259-GBZSH,1,masculino,0,0,0,2,1,1,fibra_optica,0,0,0,0,1,0,mes_a_mes,1,cheque_electronico,85.65,2.86,181.5
0260-ZDLGK,1,femenino,0,0,1,9,1,0,dsl,0,0,1,1,1,1,mes_a_mes,1,cheque_correo,72.9,2.43,651.4
0263-FJTQO,0,masculino,0,1,1,50,1,1,dsl,1,0,0,1,1,0,dos_anos,1,credit card (automatic),70.5,2.35,3486.65
0264-CNITK,0,femenino,0,1,1,71,1,0,sin_internet,0,0,0,0,0,0,dos_anos,0,bank transfer (automatic),20.1,0.67,1389.6
0265-EDXBD,1,masculino,1,1,0,32,1,1,fibra_optica,0,0,0,0,0,0,mes_a_mes,1,cheque_electronico,74.9,2.5,2303.35
0265-PSUAE,0,femenino,0,1,1,16,1,0,fibra_optica,1,0,1,0,1,1,mes_a_mes,0,bank transfer (automatic),100.7,3.36,1522.7
0266-CLZKZ,0,femenino,0,1,1,67,1,1,fibra_optica,0,0,1,1,1,1,dos_anos,1,bank transfer (automatic),105.65,3.52,6717.9
0266-GMEAO,0,masculino,0,1,1,72,1,1,fibra_optica,1,1,1,1,1,1,dos_anos,1,credit card (automatic),114.3,3.81,8058.55
0268-QKIWO,1,femenino,0,0,0,3,1,0,sin_internet,0,0,0,0,0,0,mes_a_mes,0,cheque_electronico,19.75,0.66,58.85
0269-XFESX,0,masculino,0,1,1,23,1,1,sin_internet,0,0,0,0,0,0,un_ano,0,cheque_correo,24.35,0.81,538.5
0270-THENM,0,masculino,0,1,1,72,1,1,dsl,1,1,1,1,0,0,dos_anos,0,bank transfer (automatic),69.85,2.33,5102.35
0274-JKUJR,0,masculino,0,1,1,7,0,0,dsl,1,1,1,0,1,1,mes_a_mes,0,cheque_correo,58.85,1.96,465.7
0277-BKSQP,0,masculino,0,1,1,8,1,0,dsl,0,0,0,0,1,0,mes_a_mes,1,cheque_electronico,54.4,1.81,475.1
0277-ORXQS,0,masculino,0,1,1,66,0,0,dsl,0,0,0,1,1,1,dos_anos,0,bank transfer (automatic),50.55,1.68,3364.55
0278-YXOOG,1,masculino,0,0,0,5,1,0,sin_internet,0,0,0,0,0,0,mes_a_mes,0,cheque_correo,21.05,0.7,113.85
0280-XJGEX,1,masculino,0,0,0,49,1,1,fibra_optica,0,1,1,0,1,1,mes_a_mes,1,bank transfer (automatic),103.7,3.46,5036.3
0281-CNTZX,0,masculino,0,1,0,63,1,0,sin_internet,0,0,0,0,0,0,dos_anos,1,bank transfer (automatic),19.95,0.66,1234.8
0282-NVSJS,0,femenino,1,1,1,12,0,0,dsl,0,0,0,1,0,0,mes_a_mes,1,cheque_correo,29.3,0.98,355.9
0285-INHLN,0,masculino,0,1,1,27,1,0,dsl,1,1,0,0,0,0,mes_a_mes,1,credit card (automatic),54.75,1.82,1510.3
0289-IVARM,0,femenino,0,0,0,35,1,0,dsl,1,1,1,0,0,0,mes_a_mes,0,cheque_electronico,60.55,2.02,1982.6
0292-WEGCH,0,femenino,0,1,1,54,1,1,dsl,0,1,1,1,1,1,mes_a_mes,1,cheque_electronico,86.2,2.87,4524.05
0295-PPHDO,1,masculino,0,0,0,1,1,1,fibra_optica,0,0,0,0,1,1,mes_a_mes,1,cheque_electronico,95.45,3.18,95.45
0295-QVKPB,0,masculino,0,0,0,5,1,0,dsl,0,0,1,1,1,0,mes_a_mes,1,credit card (automatic),63.95,2.13,318.1
